SonataSmooth C++ Sample
Part 1 of 1

Smoothing Parameters
Kernel Radius : 5
Kernel Width : 11
Boundary Method : Replicate
Alpha Blend : 1
Gaussian Sigma : 11 ÷ 6 = 1.833
Polynomial Order : 2
Derivative Order : 1

Generated : 1/1/2026 10:29:48 AM

Initial Dataset,Rectangular Averaging,Binomial Averaging,Binomial Median Filtering,Gaussian Weighted Median Filtering,Gaussian Filtering,Savitzky-Golay Filtering
3,13,4.076171875,3,3,4.54871303484565,4.74545454545455
5,13.0909090909091,5.6416015625,5,4,6.61471505164449,3.79090909090909
7,13.0909090909091,9.5751953125,5,5,10.7250341401374,2.78181818181818
4,13.3636363636364,16.9453125,7,6,17.0811223556096,1.90909090909091
9,13.5454545454545,25.279296875,7,7,23.5173567917079,0.963636363636364
100,13.5454545454545,28.7705078125,6,6,26.0753202172668,-0.0909090909090908
4,14,24.37109375,4,5,22.823795450909,-0.918181818181818
3,14,15.75,4,5,16.1580314680903,-1.81818181818182
6,13.6363636363636,8.8271484375,5,5,10.1498968604512,-2.7
5,13.7272727272727,5.7802734375,5,5,6.77345444745647,-3.61818181818182
3,13.2727272727273,5.146484375,5,5,5.4964515161543,-4.31818181818182
8,4.81818181818182,5.109375,5,5,5.03973597283239,0.127272727272727
5,4.72727272727273,4.9521484375,5,5,4.9295718450333,-5.55111512312578E-17
3,4.81818181818182,4.72265625,5,5,4.76399008176123,-0.127272727272727
5,4.54545454545455,4.6318359375,5,5,4.66272977501513,-0.145454545454545
4,4.54545454545455,4.6591796875,4,4,4.62902566966801,-0.1
7,4.54545454545455,4.5849609375,4,4,4.52858614866153,-0.254545454545455
3,4.27272727272727,4.322265625,4,4,4.31007209968459,-0.0454545454545454
4,4.27272727272727,4.0341796875,4,4,4.08845637771891,0.0272727272727274
3,4.45454545454546,3.912109375,4,4,3.98873220264662,-0.00909090909090909
5,4.45454545454546,3.9931640625,4,4,4.04850843527233,0.0454545454545455
3,4.54545454545455,4.2119140625,5,5,4.23617157310796,0.0454545454545455
5,4.36363636363636,4.490234375,5,5,4.47891976011609,0.2
